mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23.69055438041687,0.765266382352752,4.662549924850464,0.339178931849587,0.25,poly,0.00390625,"{'C': 0.25, 'gamma': 0.00390625, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
23.98774242401123,0.2605926549741808,3.698282766342163,0.5086021724242413,0.25,sigmoid,0.00390625,"{'C': 0.25, 'gamma': 0.00390625, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
20.13250813484192,2.4632395225325165,3.148396301269531,0.2937868894684272,0.25,rbf,0.0078125,"{'C': 0.25, 'gamma': 0.0078125, 'kernel': 'rbf'}",0.7712,0.7693,0.769,0.7699,0.7659,0.76906,0.001751113931187795,300,0.7703,0.771325,0.770025,0.770925,0.7725,0.771015,0.0008718658153638123
24.040754318237305,1.1404018520896082,4.540796375274658,0.26207198015494687,0.25,poly,0.0078125,"{'C': 0.25, 'gamma': 0.0078125, 'kernel': 'poly'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
23.821421337127685,1.8610633003142623,3.862438774108887,0.13691316360635505,0.25,sigmoid,0.0078125,"{'C': 0.25, 'gamma': 0.0078125, 'kernel': 'sigmoid'}",0.6049,0.6047,0.6045,0.6044,0.6054,0.60478,0.0003544009029333868,347,0.604675,0.605325,0.6047,0.60485,0.605025,0.604915,0.00024010414407086807
20.939842414855956,0.5146281381336618,3.082046556472778,0.1074666315543601,0.25,rbf,0.015625,"{'C': 0.25, 'gamma': 0.015625, 'kernel': 'rbf'}",0.8,0.7986,0.8049,0.7988,0.7964,0.7997400000000001,0.002829558269412371,281,0.80215,0.80125,0.799875,0.8022,0.802675,0.8016300000000001,0.0009911357122009167
22.952102613449096,0.638789070292046,4.199782133102417,0.13474073181240875,0.25,poly,0.015625,"{'C': 0.25, 'gamma': 0.015625, 'kernel': 'poly'}",0.7926,0.7916,0.7961,0.7922,0.7903,0.7925600000000002,0.001933494246177125,290,0.79495,0.79455,0.794175,0.793425,0.79565,0.7945500000000001,0.0007451509914104508
23.33577299118042,0.6343729621390021,3.8392592906951903,0.5817829141018417,0.25,sigmoid,0.015625,"{'C': 0.25, 'gamma': 0.015625, 'kernel': 'sigmoid'}",0.6652,0.6621,0.6644,0.6666,0.6674,0.6651400000000001,0.0018456435192094798,321,0.664725,0.6674,0.6646,0.6649,0.6652,0.665365,0.0010372559954032524
18.505784702301025,1.5838255524894072,2.537267541885376,0.3316143113025429,0.25,rbf,0.03125,"{'C': 0.25, 'gamma': 0.03125, 'kernel': 'rbf'}",0.8109,0.8133,0.8161,0.8106,0.8093,0.81204,0.0024063249988312252,262,0.815025,0.8137,0.813325,0.813975,0.814625,0.8141300000000001,0.0006169278726075061
18.981544780731202,1.9556870444130883,2.962787961959839,0.315618547590016,0.25,poly,0.03125,"{'C': 0.25, 'gamma': 0.03125, 'kernel': 'poly'}",0.8212,0.8206,0.8254,0.8245,0.8187,0.82208,0.0025007198963498596,210,0.825875,0.82615,0.82465,0.82465,0.826075,0.8254800000000001,0.0006836300168951202
